iter	MultiClass
0	1.06515887711	1.03358257422	1.00652889
3	0.9794439861
4	0.957273813355	0.936609739866	0.913318328177	0.894480549888	0.876366268199	0.8608762304110	0.845374266311	0.8317650152
12	0.8161426771113	0.8036144415
14	0.7923453439
15	0.7790929064
16	0.7664183252
17	0.7563508819
18	0.7449645825
19	0.7365774076
20	0.7283607454
21	0.7184521691
22	0.710963524
23	0.703811392
24	0.6975981799
25	0.6898056642
26	0.6828403977
27	0.6753304612
28	0.6677051691
29	0.6616172741
30	0.6556998291
31	0.6497959588
32	0.6441666705
33	0.6392466209
34	0.6346239906
35	0.6294055304
36	0.623372734
37	0.6183042672
38	0.6135699948
39	0.6109481498
40	0.6076851961
41	0.6031881559
42	0.603512605
43	0.5993501651
44	0.5951935438
45	0.5916190714
46	0.5871718798
47	0.5835653968
48	0.5803659818
49	0.5770409505
50	0.5744095429
51	0.5710835769
52	0.5675508901
53	0.5654466391
54	0.5631035987
55	0.5606694804
56	0.5581678217
57	0.5557455019
58	0.552379727
59	0.5494087928
60	0.5461186353
61	0.5438009853
62	0.5412340559
63	0.5385641183
64	0.53615402
65	0.5340156292
66	0.5312839312
67	0.5288459037
68	0.5267711487
69	0.5240820812
70	0.5225971086
71	0.5212633633
72	0.5195312839
73	0.5170836809
74	0.5146273858
75	0.5135548518
76	0.510781176
77	0.5089889258
78	0.5075270076
79	0.5062835347
80	0.5042165955
81	0.5026270266
82	0.5011937443
83	0.4994089036
84	0.49773586
85	0.4960323799
86	0.4941333562
87	0.4926085905
88	0.4908441904
89	0.4900325852
90	0.4885574954
91	0.4867583878
92	0.4846741819
93	0.48294119
94	0.4813652497
95	0.4792356549
96	0.4779369476
97	0.4765001577
98	0.4748233011
99	0.4735021085
100	0.4721840247
101	0.471477932
102	0.4697635346
103	0.4681643178
104	0.466749209
105	0.4656187925
106	0.4645696686
107	0.4632792015
108	0.4622946784
109	0.4603304615
110	0.4592380199
111	0.4580002299
112	0.4564258981
113	0.4555644651
114	0.4543828567
115	0.4530234687
116	0.4523849477
117	0.4511711315
118	0.4501767737
119	0.4492669853
120	0.4484865091
121	0.4474317462
122	0.4466485939
123	0.4455572007
124	0.4439517025
125	0.4435724903
126	0.4421899624
127	0.4411780503
128	0.4401060883
129	0.43896012
130	0.4376598236
131	0.4367743825
132	0.4358736837
133	0.4346625002
134	0.4335999939
135	0.4331070597
136	0.4317198609
137	0.4308243776
138	0.4297346084
139	0.4287298649
140	0.4282232648
141	0.4275231349
142	0.4263667021
143	0.4255826063
144	0.4244790749
145	0.4237514874
146	0.4228713504
147	0.4219397884
148	0.4211450206
149	0.4197825524
150	0.4190951377
151	0.4178698872
152	0.4168305036
153	0.4157960032
154	0.4148026093
155	0.4140131177
156	0.4127908916
157	0.4120504331
158	0.4113763187
159	0.4102681151
160	0.4095223855
161	0.4088249639
162	0.4085587281
163	0.4074580051
164	0.406669065
165	0.4059575735
166	0.4055768221
167	0.404975414
168	0.4038209928
169	0.4031574267
170	0.4026038219
171	0.4020764775
172	0.4013803684
173	0.4008211313
174	0.3999241993
175	0.3994024878
176	0.3984462107
177	0.3973207691
178	0.3966788042
179	0.3962101239
180	0.3952068249
181	0.3948865589
182	0.3942268169
183	0.3936135229
184	0.3929722216
185	0.3920605317
186	0.3915824754
187	0.3910332325
188	0.3905545574
189	0.389916888
190	0.3891288727
191	0.3883843873
192	0.3877155644
193	0.3869898465
194	0.3862983998
195	0.3857865324
196	0.3850236865
197	0.3844018085
198	0.3839901653
199	0.3833582152
200	0.3829007399
201	0.3823193239
202	0.381813682
203	0.3814248073
204	0.3808697768
205	0.3803718887
206	0.3798666829
207	0.3793421179
208	0.3786114676
209	0.3780803267
210	0.3773405556
211	0.3763984776
212	0.3760173879
213	0.3753265729
214	0.3748630784
215	0.3743527732
216	0.3737168948
217	0.3733880103
218	0.3728539111
219	0.372526461
220	0.3719446215
221	0.3715574679
222	0.3711195339
223	0.3705953706
224	0.3699507841
225	0.3694541456
226	0.3690625315
227	0.3685857888
228	0.3681229	0.3229	0.3676230	0.3615369424
231	0.3609147569
232	0.3602587704
233	0.359840402
234	0.3593609912
235	0.3590547148
236	0.3587011821
237	0.3583743023
238	0.3578576557
239	0.3575624707
240	0.3571228071
241	0.3563520812
242	0.3559604277
243	0.3554207929
244	0.3549832152
245	0.3545454883
246	0.3541966021
247	0.3538722053
248	0.3533226226
249	0.3527969701
250	0.3522940044
251	0.3518916169
252	0.3514640353
253	0.3511831451
254	0.3507497436
255	0.3503560349
256	0.3499507919
257	0.3496106824
258	0.3491676089
259	0.3488924114
260	0.3483841151
261	0.3480278078
262	0.3476143239
263	0.3472834944
264	0.346601296
265	0.3462186799
266	0.3458172617
267	0.3453387308
268	0.3448003959
269	0.3445126488
270	0.3440738868
271	0.3437362024
272	0.3434806065
273	0.3429391173
274	0.3423731103
275	0.3419707708
276	0.3415110906
277	0.3412368435
278	0.3408210654
279	0.3404672253
280	0.3402070613
281	0.3397614916
282	0.3394714107
283	0.3391550919
284	0.3388234617
285	0.3386258007
286	0.3383532771
287	0.3378837869
288	0.3374902524
289	0.3369491747
290	0.3366823923
291	0.3363037955
292	0.3360256307
293	0.3357911671
294	0.3354730199
295	0.3351714365
296	0.3348789283
297	0.3345183317
298	0.3341839144
299	0.3338251192
62
