iter	Passed	Remaining
0	132	39517
1	141	21080
2	148	14687
3	157	11625
4	169	9987
5	178	8765
6	190	7978
7	204	7461
8	212	6867
9	221	6414
10	232	6110
11	241	5798
12	251	5547
13	297	6083
14	340	6461
15	360	6404
16	367	6124
17	374	5870
18	382	5649
19	403	5652
20	421	5604
21	429	5426
22	437	5263
23	454	5222
24	462	5090
25	473	4993
26	485	4906
27	504	4898
28	511	4780
29	524	4721
30	531	4615
31	539	4517
32	560	4538
33	570	4460
34	577	4370
35	585	4295
36	595	4233
37	604	4164
38	612	4098
39	630	4096
40	657	4155
41	672	4132
42	697	4168
43	749	4360
44	769	4359
45	786	4344
46	820	4417
47	840	4413
48	875	4485
49	913	4565
50	1048	5119
51	1078	5143
52	1114	5193
53	1123	5117
54	1130	5035
55	1175	5122
56	1188	5065
57	1207	5037
58	1214	4962
59	1254	5016
60	1261	4943
61	1272	4885
62	1280	4817
63	1311	4835
64	1319	4770
65	1326	4703
66	1334	4639
67	1341	4576
68	1393	4665
69	1401	4603
70	1407	4540
71	1414	4478
72	1421	4421
73	1462	4466
74	1469	4408
75	1475	4349
76	1482	4293
77	1530	4355
78	1536	4299
79	1541	4238
80	1548	4185
81	1554	4133
82	1560	4080
83	1596	4105
84	1603	4055
85	1610	4007
86	1617	3960
87	1650	3976
88	1657	3929
89	1666	3888
90	1673	3843
91	1705	3855
92	1719	3826
93	1726	3783
94	1733	3740
95	1740	3699
96	1819	3808
97	1928	3974
98	1977	4015
99	1993	3986
100	2047	4033
101	2098	4072
102	2132	4079
103	2170	4090
104	2197	4081
105	2237	4095
106	2293	4136
107	2314	4114
108	2338	4097
109	2376	4104
110	2424	4128
111	2455	4121
112	2491	4122
113	2525	4120
114	2538	4083
115	2580	4092
116	2620	4098
117	2664	4110
118	2681	4078
119	2694	4042
120	2728	4036
121	2738	3995
122	2747	3953
123	2761	3919
124	2790	3906
125	2798	3864
126	2805	3822
127	2812	3779
128	2822	3741
129	2831	3702
130	2838	3662
131	2846	3622
132	2852	3581
133	2859	3542
134	2871	3509
135	2879	3472
136	2886	3433
137	2891	3394
138	2897	3356
139	2904	3319
140	2909	3281
141	2917	3245
142	2923	3209
143	2929	3173
144	2934	3137
145	2942	3103
146	2952	3073
147	2959	3039
148	2965	3005
149	2970	2970
150	2975	2935
151	2980	2901
152	2984	2867
153	2988	2833
154	2992	2799
155	2996	2766
156	3001	2734
157	3007	2702
158	3013	2671
159	3018	2640
160	3023	2610
161	3027	2579
162	3031	2548
163	3037	2518
164	3041	2488
165	3046	2459
166	3050	2429
167	3055	2400
168	3059	2371
169	3065	2343
170	3069	2315
171	3075	2288
172	3079	2260
173	3084	2233
174	3090	2207
175	3094	2180
176	3099	2153
177	3105	2128
178	3109	2101
179	3113	2075
180	3117	2049
181	3122	2024
182	3128	2000
183	3133	1975
184	3137	1950
185	3142	1925
186	3147	1901
187	3151	1877
188	3156	1853
189	3162	1830
190	3167	1807
191	3172	1784
192	3176	1761
193	3180	1738
194	3184	1714
195	3189	1692
196	3194	1670
197	3198	1647
198	3202	1625
199	3206	1603
200	3211	1581
201	3215	1559
202	3219	1538
203	3224	1517
204	3228	1496
205	3233	1475
206	3238	1454
207	3243	1434
208	3248	1414
209	3253	1394
210	3260	1375
211	3267	1356
212	3272	1336
213	3278	1317
214	3286	1299
215	3293	1280
216	3308	1265
217	3325	1250
218	3335	1233
219	3342	1215
220	3349	1197
221	3356	1179
222	3362	1161
223	3369	1143
224	3376	1125
225	3384	1108
226	3393	1091
227	3400	1073
228	3407229	34229	3415230	3445	1029
231	3454	1012
232	3462	995
233	3472	979
234	3496	967
235	3513	952
236	3523	936
237	3534	920
238	3542	904
239	3549	887
240	3558	871
241	3566	854
242	3574	838
243	3582	822
244	3592	806
245	3599	790
246	3609	774
247	3617	758
248	3626	742
249	3635	727
250	3646	711
251	3656	696
252	3665	680
253	3676	665
254	3687	650
255	3700	636
256	3716	621
257	3725	606
258	3737	591
259	3747	576
260	3756	561
261	3763	545
262	3770	530
263	3776	514
264	3783	499
265	3790	484
266	3796	469
267	3803	454
268	3808	438
269	3814	423
270	3819	408
271	3824	393
272	3829	378
273	3835	363
274	3840	349
275	3846	334
276	3852	319
277	3856	305
278	3861	290
279	3866	276
280	3871	261
281	3878	247
282	3887	233
283	3892	219
284	3898	205
285	3902	191
286	3907	176
287	3911	162
288	3915	149
289	3922	135
290	3928	121
291	3933	107
292	3937	94
293	3942	80
294	3947	66
295	3952	53
296	3957	39
297	3963	26
298	3968	13
299	3972	0
908	0
